Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results
2280098,DUNKIN DONUTS/BASKIN ROBBINS,DUNKIN DONUTS/BASKIN ROBBINS,2575074,Restaurant,Risk 2 (Medium),5130 N BROADWAY ,CHICAGO,IL,60640,2019-03-26T00:00:00,Complaint Re-Inspection,Pass
2280096,WONDERBURGER,WONDERBURGER,2626727,Restaurant,Risk 1 (High),3323 W 111TH ST ,CHICAGO,IL,60655,2019-03-26T00:00:00,License Re-Inspection,Pass
2280092,WONDERBURGER,WONDERBURGER,2626726,Restaurant,Risk 1 (High),3323 W 111TH ST ,CHICAGO,IL,60655,2019-03-26T00:00:00,License Re-Inspection,Pass
2280082,BEERHEAD BAR & EATERY,BEERHEAD BAR & EATERY,2600994,Restaurant,Risk 1 (High),3519 N CLARK ST ,CHICAGO,IL,60657,2019-03-26T00:00:00,License,Pass
2280080,PALETERIA Y NEVERIA LA MEXICANA YOGURT AND CHURRO,PALETERIA Y NEVERIA LA MICHOACANA,2125277,Restaurant,Risk 1 (High),4171 S ARCHER AVE ,CHICAGO,IL,60632,2019-03-26T00:00:00,Canvass,Pass w/ Conditions
2280078,TAQUERIA EL KACHETON,TAQUERIA EL KACHETON,1968756,Restaurant,Risk 1 (High),2446 N LARAMIE AVE ,CHICAGO,IL,60639,2019-03-26T00:00:00,Canvass Re-Inspection,Pass w/ Conditions
2280077,HERITAGE PLAZA,HERITAGE PLAZA,1165431,Restaurant,Risk 1 (High),1500 W 95TH ST ,CHICAGO,IL,60643,2019-03-26T00:00:00,Canvass,Pass w/ Conditions
2280071,MILLENNIAL MART,MILLENNIAL MART,2617199,Grocery Store,Risk 3 (Low),848 N ORLEANS ST ,CHICAGO,IL,60610,2019-03-26T00:00:00,License,Pass w/ Conditions
2280065,ALULU,ALULU,2355130,Restaurant,Risk 1 (High),2011 S LAFLIN ST ,CHICAGO,IL,60608,2019-03-26T00:00:00,Canvass,No Entry
2280067,MAKER'S MARK BARREL ROOM,MAKER'S MARK BARREL ROOM,2647346,Restaurant,Risk 3 (Low),1060 W ADDISON ST ,CHICAGO,IL,60613,2019-03-26T00:00:00,License,Pass
2280072,SPENCER ACADEMY ANNEX,Spencer Academy Annex,1981795,School,Risk 3 (Low),5028 W MAYPOLE ST ,CHICAGO,IL,60644,2019-03-26T00:00:00,Canvass,Fail
2280062,MAHIREEN GROCERY STORE,,2658088,Grocery Store,Risk 3 (Low),6351 N CLAREMONT AVE ,CHICAGO,IL,60659,2019-03-26T00:00:00,License,Not Ready
2280056,KABAB GRILL,KABAB GRILL,2626610,Restaurant,Risk 1 (High),3220-3222 W BRYN MAWR AVE ,CHICAGO,IL,60659,2019-03-26T00:00:00,Canvass,No Entry
2280057,W CLUB,W CLUB,2647345,Restaurant,Risk 3 (Low),1060 W ADDISON ST ,CHICAGO,IL,60613,2019-03-26T00:00:00,License,Pass
2280055,SX SKY BAR AT HOTEL ESSEX CHICAGO,SX SKY BAR,2647363,Restaurant,Risk 1 (High),808 S MICHIGAN AVE ,CHICAGO,IL,60605,2019-03-26T00:00:00,License,Pass
2280052,MILLENNIAL MART,MILLENNIAL MART,2528794,Grocery Store,Risk 2 (Medium),848 N ORLEANS ST ,CHICAGO,IL,60610,2019-03-26T00:00:00,Canvass,Pass w/ Conditions
2280047,SX SKY BAR AT HOTEL ESSEX CHICAGO,SX SKY BAR,2647361,Restaurant,Risk 1 (High),808 S MICHIGAN AVE ,CHICAGO,IL,60605,2019-03-26T00:00:00,License,Pass
2280049,MIDTOWN ATHLETIC CLUB AND HOTEL,MIDTOWN ATHLETIC CLUB AND HOTEL,2535330,Restaurant,Risk 1 (High),2444 N ELSTON AVE ,CHICAGO,IL,60647,2019-03-26T00:00:00,Complaint Re-Inspection,Pass w/ Conditions
2280053,SPENCER MATH AND SCIENCE ACADEMY,Spencer Academy,25441,PUBLIC SHCOOL,Risk 1 (High),214 N LAVERGNE ST ,CHICAGO,IL,60644,2019-03-26T00:00:00,Canvass,Pass w/ Conditions
2280046,ST GENEVIEVE SCHOOL,ST GENEVIEVE SCHOOL,1981517,School,Risk 1 (High),4854 W Montana ST ,CHICAGO,IL,60639,2019-03-26T00:00:00,Canvass Re-Inspection,Pass w/ Conditions
2280050,FAVELA'S RESTAURANT,FAVELA'S RESTAURANT,2231999,Restaurant,Risk 1 (High),5004-5006 S ARCHER AVE ,CHICAGO,IL,60632,2019-03-26T00:00:00,Canvass,Out of Business
2280036,ART ZONE GALLERY CAFE,ART ZONE GALLERY CAFE,1300871,Restaurant,Risk 2 (Medium),3238 W BRYN MAWR AVE ,CHICAGO,IL,60659,2019-03-26T00:00:00,Canvass,Pass w/ Conditions
2280035,ENVISION FOODS LLC,ENVISION UNLIMITED WESTTOWN  CENTER,2632314,Shared Kitchen,Risk 1 (High),1801 N SPAULDING AVE ,CHICAGO,IL,60647,2019-03-26T00:00:00,License Re-Inspection,Pass
2280034,LEAH'S PANCAKE HOUSE,LEAH'S PANCAKE HOUSE,2231999,Restaurant,Risk 1 (High),5004-5006 S ARCHER AVE ,CHICAGO,IL,60632,2019-03-26T00:00:00,Canvass,Pass w/ Conditions
2280032,WHITE CASTLE #24,WHITE CASTLE #24,1676601,Restaurant,Risk 2 (Medium),7912 S PULASKI RD ,CHICAGO,IL,60652,2019-03-26T00:00:00,Canvass,Pass
2280039,BURGER KING #6358,BURGER KING,2368795,Restaurant,Risk 2 (Medium),6400 W IRVING PARK RD ,CHICAGO,IL,60634,2019-03-26T00:00:00,Complaint,Pass w/ Conditions
2280038,"UNIVERSITY KIDS EARLY LEARNING CENTER, INC.","UNIVERSITY KIDS EARLY LEARNING CENTER, INC.",2535919,Children's Services Facility,Risk 1 (High),6420-6422 S COTTAGE GROVE AVE ,CHICAGO,IL,60637,2019-03-26T00:00:00,License,Fail
2280027,GO PUFF,GO PUFF,2647294,Grocery Store,Risk 3 (Low),1347 S ASHLAND AVE ,CHICAGO,IL,60608,2019-03-26T00:00:00,License,Fail
2280029,MOBIL,MOBIL,2647877,Grocery Store,Risk 3 (Low),2550 N PULASKI RD ,CHICAGO,IL,60639,2019-03-26T00:00:00,License,Pass w/ Conditions
2280026,SUBWAY,SUBWAY,2119899,Restaurant,Risk 1 (High),5316 N MILWAUKEE AVE ,CHICAGO,IL,60630,2019-03-26T00:00:00,Canvass,Pass w/ Conditions
2280023,MARATHON CAPITOL CAR WASH,MARATHON CAPITOL CAR WASH,15575,Grocery Store,Risk 3 (Low),2550 N PULASKI RD ,CHICAGO,IL,60639,2019-03-26T00:00:00,Canvass,Out of Business
2280022,FLAT & POINT,FLAT & POINT,2631911,Restaurant,Risk 3 (Low),3524 W FULLERTON AVE ,CHICAGO,IL,60647,2019-03-26T00:00:00,License Re-Inspection,Pass w/ Conditions
2280017,KABAB 2,KABAB 2,2653110,Restaurant,Risk 1 (High),3216 W LAWRENCE AVE ,CHICAGO,IL,60625,2019-03-26T00:00:00,License Re-Inspection,Pass w/ Conditions
2280020,MARATHON CAPITOL CAR WASH,MARATHON CAPITOL CAR WASH,15575,Grocery Store,Risk 3 (Low),2550 N PULASKI RD ,CHICAGO,IL,60639,2019-03-26T00:00:00,Canvass Re-Inspection,Pass w/ Conditions
2280018,FLAT & POINT,FLAT & POINT,2631910,Restaurant,Risk 1 (High),3524 W FULLERTON AVE ,CHICAGO,IL,60647,2019-03-26T00:00:00,License Re-Inspection,Pass w/ Conditions
